,polarity,date,tweet,tweet_processed,tweet_processed2
10,positif,,Non c’est légitime #reformedesretraites,non légitime reformedesretraites,non légitimer reformedesretraites
11,negatif,,Article de @lavoixdunord #RéformeDesRetraites : la #CGT {@lacgtcommunique} appelle à un blocage des #raffineries du 7 au 10 janvier 30/12/2019,article réformedesretraites cgt appelle blocage raffineries 10 janvier 30 12 2019,article réformedesretraites cgt appeler blocage raffinerie 10 janvier 30 12 2019
12,negatif,," Article de @franceinfo [Thread 1/2] #RéformeDesRetraites : les #avocats appelés à une ""#grève dure"" à compter du #6janvier 30/12/2019",article thread réformedesretraites avocats appelés grève dure compter 6janvier 30 12 2019,article thread réformedesretraites avocat appeler grever durer compter 6janvier 30 12 2019
13,negatif,,"Je crois bien que c la 1ère fois que je reçois ma fiche de paie aussi tôt! normal mon ETS qui veut casser la grève m’a prélevé un max à savoir 12 jours, 935€, sachant que la solde est bouclée depuis le 16 mauvaise nouvelle pr les patrons : je continue! #reformedesretraites",crois bien 1ère fois reçois fiche paie aussi tôt normal ets veut casser grève prélevé max savoir 12 jours 935 sachant solde bouclée depuis 16 mauvaise nouvelle pr patrons continue reformedesretraites,croire bien 1ère foi recevoir ficher payer aussi tôt normal ets vouloir casser grever prélever max savoir 12 jour 935 savoir solder boucler depuis 16 mauvais nouveau pr patron continuer reformedesretraites
14,positif,,Arrêtons de parler de grève contre la réforme des retraites. Il ne s’agit que de la grève contre la réforme des régimes spéciaux de la #RATP et de la #SNCF. Rien de plus. #ReformedesRetraites,arrêtons parler grève contre réforme retraites agit grève contre réforme régimes spéciaux ratp sncf rien plus reformedesretraites,arrêter parler grever contrer réformer retraiter agir grever contrer réformer régime spécial ratp sncf rien plaire reformedesretraites
15,negatif,,"Appel au blocage total de toutes les #raffineries de #France, du 7 au 10 janvier. Si, après avoir tenté la division, le régime #Macron mise sur le pourrissement, il va droit dans le mur... #réformedesretraites #GiletsJaunes #GrèveGénérale #FiersDeLaGrève",appel blocage total toutes raffineries france 10 janvier si après avoir tenté division régime macron mise pourrissement va droit mur réformedesretraites giletsjaunes grèvegénérale fiersdelagrève,appel blocage total toute raffinerie france 10 janvier si après avoir tenter division régime macron miser pourrissement aller droit mur réformedesretraites giletsjaunes grèvegénérale fiersdelagrève
16,positif,,#greve31decembre #Francia #GreveGenerale #reformedesretraites,greve31decembre francia grevegenerale reformedesretraites,greve31decembre francia grevegenerale reformedesretraites
17,negatif,,On peut ajouter: - J'amnistie tous les manifestants condamnés injustement #grevistes #GiletsJaunes #reformedesretraites,peut ajouter amnistie tous manifestants condamnés injustement grevistes giletsjaunes reformedesretraites,pouvoir ajouter amnistier tout manifestant condamner injustement grevistes giletsjaunes reformedesretraites
18,negatif,,Du coup la @RATPgroup @ClientsRATP quand est ce que vous prenez des sanctions disciplinaires contre ces individus (ou grosses au choix) qu’on arrive à reconnaître très clairement sur cette vidéo ?!?! #ReformeRetraite #ReformeDesRetraites #RATP,coup quand prenez sanctions disciplinaires contre individus grosses choix arrive reconnaître très clairement cette vidéo reformeretraite reformedesretraites ratp,coup quand prendre sanction disciplinaire contrer individu gros choix arriver reconnaître très clairement ce vidéo reformeretraite reformedesretraites ratp
19,positif,,"Une réforme de justice sociale, tout ça quoi... #greve31decembre #Retraites #reformedesretraites ",réforme justice sociale tout ça quoi greve31decembre retraites reformedesretraites,réformer justice social tout ça quoi greve31decembre retraiter reformedesretraites
20,negatif,,Le jet privé est financé par le contribuable français ? #CarlosGhosn #Japon #Liban Le banquier d'affaire a l'air plus préoccupé par ses potes délinquants en col blanc que la #reformedesretraites #greve31decembre,jet privé financé contribuable français carlosghosn japon liban banquier affaire air plus préoccupé potes délinquants col blanc reformedesretraites greve31decembre,jet priver financer contribuable français carlosghosn japon liban banquier affairer air plaire préoccuper pote délinquant col blanc reformedesretraites greve31decembre
21,positif,,@pm_cheung @Ernesto52944864 #GiletsJaunes #reformedesretraites @pablo_rotelli,giletsjaunes reformedesretraites,giletsjaunes reformedesretraites
22,positif,,"@AnasseKazib , pas vraiment ma tasse de thé mais force est de constater qu'il tient bien sa place dans la #reformedesretraites , qu'il maîtrise son sujet, qu'il défend le morceau et qu'il est plutôt bon pour déstabiliser l'intelligentsia macroniste. #Retraites #Macronie #LREM",vraiment tasse thé force constater tient bien place reformedesretraites maîtrise sujet défend morceau plutôt bon déstabiliser intelligentsia macroniste retraites macronie lrem,vraiment tasser thé forcer constater tenir bien placer reformedesretraites maîtriser sujet défendre morceau plutôt bon déstabiliser intelligentsia macroniste retraiter macronie lrem
23,positif,,"Les syndicats les plus anti-#RéformeDesRetraites rivalisent de #FakeNews pour la lier au principe de capitalisation alors qu'elle consolide celui de répartition. Mais en plus ce sont eux, tel #FO, qui gèrent le plus gros régime par capitalisatº. #tartuffes",syndicats plus anti réformedesretraites rivalisent fakenews lier principe capitalisation alors consolide celui répartition plus tel fo gèrent plus gros régime capitalisatº tartuffes,syndicat plaire anti réformedesretraites rivaliser fakenews lier principe capitalisation alors consolider celui répartition plaire tel fo gérer plaire gros régime capitalisatº tartuffe
24,negatif,,#Réformedesretraites : un coup d'état à plus de 300 milliards d'euros. Hold-up organisé sur les réserves des caisses #retraites. https://blogs.mediapart.fr/edition/le-travail-en-question/article/251219/reforme-des-retraites-un-coup-d-etat-plus-de-300-milliards-deuros?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=Sharing&amp;xtor=CS3-67,réformedesretraites coup état plus 300 milliards euros hold up organisé réserves caisses retraites,réformedesretraites coup état plaire 300 milliard euro hold up organiser réserver caisse retraiter
25,negatif,,"Leur #reformedesretraites , c’est non! Tout le monde est concerné! ",reformedesretraites non tout monde concerné,reformedesretraites non tout monder concerner
26,positif,,Le média @lopinion_fr fusille la théorie des camarades de la #CGT et la #Franceinsoumise qui nous baratinent depuis le début de la grève que la #reformedesretraites va exonérer les plus aisés. C'est justement le contraire.,média fusille théorie camarades cgt franceinsoumise baratinent depuis début grève reformedesretraites va exonérer plus aisés justement contraire,média fusiller théorie camarade cgt franceinsoumise baratiner depuis début grever reformedesretraites aller exonérer plaire aisé justement contraire
27,negatif,,Leur #reformedesretraites est 1 partie de l’iceberg de l’extrême-libéralisme de #LREM ! La privatisation de la justice est #EnMarche ! C’est contre ce monde où tout se vend et tout s’achète qu’il faut se battre! Pour l’intérêt général et les services publics #greve31decembre,reformedesretraites partie iceberg extrême libéralisme lrem privatisation justice enmarche contre monde où tout vend tout achète faut battre intérêt général services publics greve31decembre,reformedesretraites partir iceberg extrême libéralisme lrem privatisation justice enmarche contrer monder où tout vendre tout acheter falloir battre intérêt général service public greve31decembre
28,negatif,,#Réformedesretraites : uncoupdÉtat à plus de #300 #milliards d'euros ! via @Mediapart https://blogs.mediapart.fr/edition/le-travail-en-question/article/251219/reforme-des-retraites-un-coup-d-etat-plus-de-300-milliards-deuros?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=Sharing&amp;xtor=CS3-67,réformedesretraites uncoupdétat plus 300 milliards euros via,réformedesretraites uncoupdétat plaire 300 milliard euro via
29,negatif,,"#Réformedesretraites « Les anciennes caisses, fortement déficitaires, seront dans les mains de l’État, qui devra organiser des transferts entre la nouvelle caisse et les anciennes. On voit tous les conflits qui pourront naître de cette situation » ",réformedesretraites anciennes caisses fortement déficitaires mains état devra organiser transferts entre nouvelle caisse anciennes voit tous conflits pourront naître cette situation,réformedesretraites ancien caisse fortement déficitaire main état devoir organiser transfert entrer nouveau caisse ancien voir tout conflit pouvoir naître ce situation
30,negatif,,"#ReformeDesRetraites @EELV rappelle son hostilité à la retraite à point. Macron doit entendre et arrêter son arrogance. La réforme présentée n'est ni universelle, ni juste et équitable. Le gouvernement doit retirer son projet et recommencer sa copie.",reformedesretraites rappelle hostilité retraite point macron doit entendre arrêter arrogance réforme présentée ni universelle ni juste équitable gouvernement doit retirer projet recommencer copie,reformedesretraites rappeler hostilité retraiter poindre macron devoir entendre arrêter arrogance réformer présenter ni universel ni juste équitable gouvernement devoir retirer projet recommencer copier
31,negatif,,.@emmanuelmaurel sur @LCI « C’est indécent de voir quelqu’un qui gagne 15 000 euros par mois dire que celui qui en gagne 2000 est un privilégié. » #reformedesretraites,indécent voir quelqu gagne 15 000 euros mois dire celui gagne 2000 privilégié reformedesretraites,indécent voir quelqu gagner 15 000 euro mois dire celui gagner 2000 privilégier reformedesretraites
32,negatif,,#reformesdesretraites #reformedesretraites #Retraites #greve31decembre,reformesdesretraites reformedesretraites retraites greve31decembre,reformesdesretraites reformedesretraites retraiter greve31decembre
33,negatif,,"Être une femme à la RATP #grève #réformeDesRetraites IRL c'est très loin du rôle d'Ariane Ascaride ds ""Gloria Mundi""",être femme ratp grève réformedesretraites irl très loin rôle ariane ascaride ds gloria mundi,être femme ratp grever réformedesretraites irl très loin rôle ariane ascaride ds gloria mundi
34,negatif,,Ose affirmer que les administratifs #SNCF partent en retraite plus tard qu'ailleurs QU'ON SE POILE #Retraites #reformedesretraites,ose affirmer administratifs sncf partent retraite plus tard ailleurs poile retraites reformedesretraites,oser affirmer administratif sncf partir retraiter plaire tard ailleurs poiler retraiter reformedesretraites
35,negatif,,#GreveGenerale #reformedesretraites #France #greve31decembre,grevegenerale reformedesretraites france greve31decembre,grevegenerale reformedesretraites france greve31decembre
36,negatif,,"Le CNB appelle tous les avocats de France à durcir la grève à partir du 6 janvier, contre la #reformedesretraites . #cnb #Retraites #ReformeRetraite #greve #greve6Janvier #avocat",cnb appelle tous avocats france durcir grève partir janvier contre reformedesretraites cnb retraites reformeretraite greve greve6janvier avocat,cnb appeler tout avocat france durcir grever partir janvier contrer reformedesretraites cnb retraiter reformeretraite greve greve6janvier avocat
37,positif,,#SOSretraites #reformedesretraites,sosretraites reformedesretraites,sosretraites reformedesretraites
38,positif,,"""71 mil millones de déficit"", ""jubilación financiada"": ¿la cara oculta de una reforma? #reformedesretraites https://francais.rt.com/france/69437-manque-a-gagner-71-milliards-retraite-capitalisation-face-cachee-reforme",71 mil millones déficit jubilación financiada cara oculta una reforma reformedesretraites,71 mil millones déficit jubilación financiada cara oculta una reformer reformedesretraites
39,negatif,,"C'est bon Manu tout le monde sait que ta #reformedesretraites ordonnée par la #commissioneuropéenne c'est de la grosse merde, on te laissera pas faire ça en France. #frexit et #ric en toutes matières",bon manu tout monde sait reformedesretraites ordonnée commissioneuropéenne grosse merde laissera faire ça france frexit ric toutes matières,bon manu tout monder savoir reformedesretraites ordonner commissioneuropéenne gros merder laisser faire ça france frexit ric toute matière
40,negatif,," ALERTE Si leur #reformedesretraites passe, le système par répartition trépasse! #greve31decembre #grevereconductible",alerte si reformedesretraites passe système répartition trépasse greve31decembre grevereconductible,alerter si reformedesretraites passer système répartition trépasser greve31decembre grevereconductible
41,negatif,,C’est quand que vous nous avez demandé notre avis ? J’ai du rater un épisode. Il y a eu un référendum ?! Ou à défaut un sondage ? Indiquez le lien SVP j’ai envie de répondre #reformedesretraites,quand demandé avis rater épisode référendum défaut sondage indiquez lien svp envie répondre reformedesretraites,quand demander avis rater épisode référendum défaut sondage indiquer lien svp envier répondre reformedesretraites
42,positif,,Soutien à vous ! Merci pour tout le travail d'explication et votre mobilisation ! #GreveGenerale #reformedesretraites,soutien merci tout travail explication mobilisation grevegenerale reformedesretraites,soutien merci tout travail explication mobilisation grevegenerale reformedesretraites
43,positif,,#reformedesretraites #tf1 #LR,reformedesretraites tf1 lr,reformedesretraites tf1 lr
44,negatif,,"#reformedesretraites : les #avocats appelés à une "" #greves dure"" à compter du 6 janvier #soutiengrevistes https://www.francetvinfo.fr/economie/retraite/reforme-des-retraites/reforme-des-retraites-les-avocats-appeles-a-une-greve-dure-a-compter-du-6-janvier_3765087.html #INFO via #franceinfo #ReformeRetraites #GreveGenerale",reformedesretraites avocats appelés greves dure compter janvier soutiengrevistes info via franceinfo reformeretraites grevegenerale,reformedesretraites avocat appeler greves durer compter janvier soutiengrevistes info via franceinfo reformeretraites grevegenerale
45,negatif,,Más de cien personas se manifiestan por la noche. #Carcassonne (11) contra #reformedesretraites . #GiletsJaunes y miembros del sindicato están presentes. #greve30décembre #greve31decembre #Macron,más cien personas manifiestan por noche carcassonne 11 contra reformedesretraites giletsjaunes miembros del sindicato están presentes greve30décembre greve31decembre macron,más cien personas manifiestan por noche carcassonne 11 contrer reformedesretraites giletsjaunes miembros del sindicato están presentes greve30décembre greve31decembre macron
46,negatif,,"La loi sur la #dépendance éclipsée par la #réformedesretraites : ""une forme de scandale et de mépris"" ⁦@HuguesVidor⁩ ⁦@UDESnationale⁩",loi dépendance éclipsée réformedesretraites forme scandale mépris,loi dépendance éclipser réformedesretraites former scandale méprendre
47,negatif,,"#grevesncf #greveratp #greves #SNCF Grève contre la #réformedesretraites : le 31 décembre, la moitié des #TGV et #TER circuleront, trafic « très perturbé » à la #RATP. À Paris, seules les deux lignes de #métro automatisées fonctionneront après 18 h 30.",grevesncf greveratp greves sncf grève contre réformedesretraites 31 décembre moitié tgv ter circuleront trafic très perturbé ratp paris seules deux lignes métro automatisées fonctionneront après 18 30,grevesncf greveratp greves sncf grever contrer réformedesretraites 31 décembre moitié tgv ter circuler trafic très perturber ratp pari seul deux ligne métro automatisé fonctionner après 18 30
48,negatif,,Grève contre la #reformedesretraites: la #CGT appelle à un blocage total de toutes les #raffineries du 7 au 10 janvier.!! #greve31decembre #essence #GreveGenerale #PenurieDeCarburant #Macron #france #economie #GiletsJaunes #Retraites #FiersDeLaGrève,grève contre reformedesretraites cgt appelle blocage total toutes raffineries 10 janvier greve31decembre essence grevegenerale penuriedecarburant macron france economie giletsjaunes retraites fiersdelagrève,grever contrer reformedesretraites cgt appeler blocage total toute raffinerie 10 janvier greve31decembre essence grevegenerale penuriedecarburant macron france economie giletsjaunes retraiter fiersdelagrève
49,positif,,Merci qui ? @fhollande et son ministre du Budget non ? Et on refait même erreur avec #FDJ et #ADP via @BrunoLeMaire #grevesncf #reformedesretraites #ReformeRetraite #GiletsJaunes,merci ministre budget non refait erreur fdj adp via grevesncf reformedesretraites reformeretraite giletsjaunes,merci ministre budget non refaire erreur fdj adp via grevesncf reformedesretraites reformeretraite giletsjaunes
50,negatif,,#raffineries #CGT #reformedesretraites #retraites #greve #greves « Ce sera un blocage total [ du 7 au 10 janvier ]. A l'issue de ces 96 heures de grève on se posera la question de savoir si l'on passe à l'étape de l'arrêt des installations » https://www.francetvinfo.fr/economie/automobile/essence/greve-contre-la-reforme-des-retraites-la-cgt-appelle-a-un-blocage-total-de-toutes-les-raffineries-du-7-au-10-janvier_3765199.html,raffineries cgt reformedesretraites retraites greve greves blocage total 10 janvier issue 96 heures grève posera question savoir si passe étape arrêt installations,raffinerie cgt reformedesretraites retraiter greve greves blocage total 10 janvier issu 96 heure grever poser question savoir si passer étape arrêt installation
51,negatif,,#greve31decembre #greve30décembre #greve #GreveGenerale #reformedesretraites #Retraites #Retraitesparpoints,greve31decembre greve30décembre greve grevegenerale reformedesretraites retraites retraitesparpoints,greve31decembre greve30décembre greve grevegenerale reformedesretraites retraiter retraitesparpoints
52,negatif,,"2019, la meilleure rentrée de @jmblanquer !!! Il n'a jamais été aussi près de se débarrasser de toutes ces feignasses... Sans même avoir à les virer, juste un peu de mépris ! #stopmepris #blanquerment #reformedesretraites #ecoledelaconfiance #christinerenon",2019 meilleure rentrée jamais aussi près débarrasser toutes feignasses sans avoir virer juste peu mépris stopmepris blanquerment reformedesretraites ecoledelaconfiance christinerenon,2019 meilleur rentrer jamais aussi près débarrasser toute feignasse sans avoir virer juste peu méprendre stopmepris blanquerment reformedesretraites ecoledelaconfiance christinerenon
53,positif,,RT un max/ Simple hypothèse pour mai 2022 Si dimanche l on votait 2 eme tour #macron #LePen que mettriez vous dans l’urne ? @GiletsJaunesFr_ #GiletsJaunes #reformedesretraites #reformeretraites #bregancon #VoeuxMacron2020 @__Verlaine__ @tropical_boy #RATP #SNCF #greves,max simple hypothèse mai 2022 si dimanche votait eme tour macron lepen mettriez urne giletsjaunes reformedesretraites reformeretraites bregancon voeuxmacron2020 ratp sncf greves,max simple hypothèse mai 2022 si dimanche voter eme tour macron lepen mettre urne giletsjaunes reformedesretraites reformeretraites bregancon voeuxmacron2020 ratp sncf greves
54,negatif,,Mouis... les mêmes qui nous ont toujours répété que nous n’aurions jamais de retraite. On se demande bien pourquoi ils avaient déjà tous cela en tête à l’époque... #reformedesretraites,mouis mêmes toujours répété jamais retraite demande bien pourquoi déjà tous cela tête époque reformedesretraites,mouis même toujours répéter jamais retraiter demander bien pourquoi déjà tout celer tête époque reformedesretraites
55,negatif,,"#Retraites: 1 réforme ""universelle"" mais déjà...8 régimes spéciaux maintenus. Le ridicule &amp; l'amateurisme ne tuent pas, sinon les idiots utiles du @gouvernementFR &amp; d'@enmarchefr ne seraient +là. #reformesdesretraites #ReformeRetraite #reformedesretraites ",retraites réforme universelle déjà régimes spéciaux maintenus ridicule amp amateurisme tuent sinon idiots utiles amp là reformesdesretraites reformeretraite reformedesretraites,retraiter réformer universel déjà régime spécial maintenir ridicule amp amateurisme tuer sinon idiot utile amp là reformesdesretraites reformeretraite reformedesretraites
56,positif,,Si soit disant 2/3 des francais sont favorable a la #reformedesretraites pourquoi @EPhilippePM et @EmmanuelMacron ne la soumettent pas a referemdum en même temps que les #Municipales2020 ? Voila un signe qui serait d apaisement,si disant francais favorable reformedesretraites pourquoi soumettent referemdum temps municipales2020 voila signe apaisement,si dire francais favorable reformedesretraites pourquoi soumettre referemdum temps municipales2020 voiler signer apaisement
57,negatif,,"La #reformedesretraites fera baisser les cotisations des plus fortunés, soit une perte de 72 milliards pour la caisse des retraites entre 2025 et 2040 Économe la retraite à points ? Non, en vérité il s'agit plutôt du braquage du siècle ! #greves #Retraitesparpoints #retraite",reformedesretraites fera baisser cotisations plus fortunés perte 72 milliards caisse retraites entre 2025 2040 économe retraite points non vérité agit plutôt braquage siècle greves retraitesparpoints retraite,reformedesretraites faire baisser cotisation plaire fortuné perte 72 milliard caisse retraiter entrer 2025 2040 économe retraiter point non vérité agir plutôt braquage siècle greves retraitesparpoints retraiter
58,negatif,,#greve30décembre #greve #GreveGenerale #reformedesretraites #Retraites #Retraitesparpoints #SNCF #grevesncf #CGT #cheminots,greve30décembre greve grevegenerale reformedesretraites retraites retraitesparpoints sncf grevesncf cgt cheminots,greve30décembre greve grevegenerale reformedesretraites retraiter retraitesparpoints sncf grevesncf cgt cheminot
59,negatif,,"Si bien un truc dont je me contrefous, ce sont bien les #VoeuxMacron2020 ! Il peut se les garder... #Fiersdelagreve #ReformeDesRetraites #LREM #Macron #Greve9janvier",si bien truc dont contrefous bien voeuxmacron2020 peut garder fiersdelagreve reformedesretraites lrem macron greve9janvier,si bien truc dont contrefoutre bien voeuxmacron2020 pouvoir garder fiersdelagreve reformedesretraites lrem macron greve9janvier
60,negatif,,Sans doute aura-t-il besoin de faire son autocritique ! #reformedesretraites #raslebol #MacronPiègeACons,sans doute besoin faire autocritique reformedesretraites raslebol macronpiègeacons,sans douter besoin faire autocritique reformedesretraites raslebol macronpiègeacons
61,negatif,,Donc demain on devra dire merci a #macron de nous le reduire au minimum c est ca ? #reformedesretraites,donc demain devra dire merci macron reduire minimum ca reformedesretraites,donc demain devoir dire merci macron reduire minimum ca reformedesretraites
62,negatif,,Et d avoir toucher au mini le smic sachant ke plus de 30%ne les ont pas et sont beneficiares du rsa c est juste de la com #reformedesretraites,avoir toucher mini smic sachant ke plus 30 beneficiares rsa juste com reformedesretraites,avoir toucher mini smic savoir ke plaire 30 beneficiares rsa juste com reformedesretraites
63,positif,,"Lettre ouverte du petit fils du pere fondateur de notre #secu, M #Croizat . Clin d oeil a notre actu sur la #reformedesretraites ",lettre ouverte petit fils pere fondateur secu croizat clin oeil actu reformedesretraites,lettre ouvrir petit fil pere fondateur secu croizat clin oeil actu reformedesretraites
64,negatif,,#reformedesretraites #retraites #RegimesSpeciaux La #CGT appelle à un « blocage total » de toutes les #raffineries de France du 7 au 10 janvier prochain,reformedesretraites retraites regimesspeciaux cgt appelle blocage total toutes raffineries france 10 janvier prochain,reformedesretraites retraiter regimesspeciaux cgt appeler blocage total toute raffinerie france 10 janvier prochain
65,positif,,Dans le privé on est conscient du monde dans lequel on vit et des privilèges dont bénéficient les autres régimes #grevedelahonte #égalité #fraternité #reformedesretraites,privé conscient monde lequel vit privilèges dont bénéficient autres régimes grevedelahonte égalité fraternité reformedesretraites,priver conscient monder lequel voir privilège dont bénéficier autre régime grevedelahonte égalité fraternité reformedesretraites
66,positif,,Si @RoyalSegolene était entrée au GVT elle aurait défendue becques et ongles la #reformedesretraites mais par vanité électoraliste et vengeance hypocrite elle se déchaîne sur les plateaux télés ! #SocialismKills,si entrée gvt défendue becques ongles reformedesretraites vanité électoraliste vengeance hypocrite déchaîne plateaux télés socialismkills,si entrer gvt défendu becques ongle reformedesretraites vanité électoraliste vengeance hypocrite déchaîner plateau télé socialismkills
67,negatif,,Quelle honte #CGTCheminots #reformedesretraites #ReformeRetraites https://twitter.com/carpedi56046538/status/1211726539479498752,quelle honte cgtcheminots reformedesretraites reformeretraites,quel honte cgtcheminots reformedesretraites reformeretraites
68,negatif,,#Retraites : Peut-on vraiment croire en #Macron et sa #reformedesretraites ? La réponse c'est NON #greve #VoeuxMacron2020 #RATP #greve31decembre #SNCF #GiletsJaunes #hdpros #VoeuxDeMacron2020 #GGRMC #BourdinDirect #BFMTV #greve30decembre,retraites peut vraiment croire macron reformedesretraites réponse non greve voeuxmacron2020 ratp greve31decembre sncf giletsjaunes hdpros voeuxdemacron2020 ggrmc bourdindirect bfmtv greve30decembre,retraiter pouvoir vraiment croire macron reformedesretraites réponse non greve voeuxmacron2020 ratp greve31decembre sncf giletsjaunes hdpros voeuxdemacron2020 ggrmc bourdindirect bfmtv greve30decembre
69,negatif,,#chômage #reformedesretraites #France,chômage reformedesretraites france,chômage reformedesretraites france
70,negatif,,L'ignominie des staliniens et des médiocres #SNCF @cgtcheminots #philippeMartinez Sud Rail #sncfgreve #reformedesretraites,ignominie staliniens médiocres sncf philippemartinez sud rail sncfgreve reformedesretraites,ignominie stalinien médiocre sncf philippemartinez sud rail sncfgreve reformedesretraites
71,negatif,,"Ni trêve, ni champagne... Toujours pas de convergence des flûtes ! #reformedesretraites #politique @gouvernementFR @Elysee @EmmanuelMacron @EPhilippePM #LeCanardEnchaine @canardenchaine",ni trêve ni champagne toujours convergence flûtes reformedesretraites politique lecanardenchaine,ni trêve ni champagne toujours convergence flûte reformedesretraites politique lecanardenchaine
72,positif,,#SOSRetraites #reformedesretraites,sosretraites reformedesretraites,sosretraites reformedesretraites
73,negatif,,Pas d'argent pour les #retraites...alors pourquoi les indemnités des élus ont évolué plus rapidement que le revenu médian? Facile de demander aux français des efforts pour mieux se servir! #Macron #GiletJaunes #greve29decembre #LREM #reformedesretraites https://www.lemonde.fr/les-decodeurs/article/2018/12/18/les-elus-de-france-ont-ils-vu-leur-niveau-de-vie-progresser-plus-vite-que-celui-des-francais_5399363_4355770.html,argent retraites alors pourquoi indemnités élus évolué plus rapidement revenu médian facile demander français efforts mieux servir macron giletjaunes greve29decembre lrem reformedesretraites,argent retraiter alors pourquoi indemnité élu évoluer plaire rapidement revenir médian facile demander français effort mieux servir macron giletjaunes greve29decembre lrem reformedesretraites
74,negatif,,#reformedesretraites #GreveGenerale pour faire reculer Macron!,reformedesretraites grevegenerale faire reculer macron,reformedesretraites grevegenerale faire reculer macron
